2024-11-18	16:36:57	/register :	 localhost :	 POST 	
2024-11-18	16:37:08	/signup :	 localhost :	 POST 	
2024-11-18	16:41:00	/signup :	 localhost :	 POST 	
2024-11-18	16:42:50	/home :	 localhost :	 GET 	
2024-11-18	16:43:29	/home :	 localhost :	 GET 	
2024-11-18	16:47:32	/api/post :	 localhost :	 POST 	
2024-11-18	19:19:10	/signup :	 localhost :	 POST 	
2024-11-18	19:48:35	/api/post :	 localhost :	 POST 	
2024-11-18	19:49:58	/api/post/673b27ced45bb0062797c8d9 :	 localhost :	 DELETE 	
2024-11-18	19:50:17	/api/post/673b53c3adf9595fec290856 :	 localhost :	 DELETE 	
2024-11-18	19:51:30	/api/post/673b53c3adf9595fec290856 :	 localhost :	 DELETE 	
2024-11-18	19:54:43	/api/post/673b53c3adf9595fec290856 :	 localhost :	 DELETE 	
2024-11-18	19:55:24	/api/post/673b53c3adf9595fec290856 :	 localhost :	 DELETE 	
2024-11-18	19:56:51	/api/post/673b53c3adf9595fec290856 :	 localhost :	 DELETE 	
2024-11-18	19:57:22	/api/post/673b29547f24db15a4cc564c :	 localhost :	 DELETE 	
2024-11-18	20:01:54	/api/post/673b29547f24db15a4cc564c :	 localhost :	 DELETE 	
2024-11-18	20:02:10	/api/post/673b53c3adf9595fec290856 :	 localhost :	 DELETE 	
2024-11-18	20:48:24	/api/post :	 localhost :	 POST 	
2024-11-18	20:50:50	/api/post/673b61c8ee9e4eed48e13fd2 :	 localhost :	 PUT 	
2024-11-18	20:51:12	/api/post/673b61c8ee9e4eed48e13fd2 :	 localhost :	 PUT 	
2024-11-18	20:51:56	/api/post/673b61c8ee9e4eed48e13fd2 :	 localhost :	 PUT 	
2024-11-18	20:52:53	/api/post/673b61c8ee9e4eed48e13fd2 :	 localhost :	 PUT 	
2024-11-18	20:55:06	/login :	 localhost :	 POST 	
2024-11-18	20:55:46	/login :	 localhost :	 POST 	
2024-11-18	21:02:46	/login :	 localhost :	 POST 	
2024-11-18	21:03:05	/api/post/673b61c8ee9e4eed48e13fd2 :	 localhost :	 PUT 	
2024-11-18	21:03:48	/api/post/673b61c8ee9e4eed48e13fd2 :	 localhost :	 PUT 	
2024-11-18	21:10:19	/api/posts :	 localhost :	 GET 	
2024-11-18	21:10:20	/favicon.ico :	 localhost :	 GET 	
2024-11-18	21:10:43	/api/posts :	 localhost :	 GET 	
2024-11-18	21:10:57	/api/posts :	 localhost :	 GET 	
2024-11-18	21:11:14	/api/posts :	 localhost :	 GET 	
